Species;Relative.Adult.Mobility;Estimated.Max.Body.Size;Habitat.Complexity;Chemosynthesis.Obligate;Zonation.From.Vent;Feeding.Mode;CIR;ESR;Galapagos;GoC;JdF;Kermadec;Lau;Manus;Mariana;MohnsRidge;NEPR;N.MAR;NFiji;Okinawa;SEPR;S.MAR;SWIR
Buccinum thermophilum;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Buccinum viridum;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Bythograea galapagensis;4;100;Does not add;Vent;Medium;Carnivore;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bythograea intermedia;4;100;Does not add;Vent;Medium;Carnivore;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bythograea laubieri;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Bythograea microps;4;10;Does not add;Vent;Medium;Carnivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Bythograea thermydron;4;100;Does not add;Vent;High;Carnivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Bythograea vrijenhoeki;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Calyptogena pacifica;3;100;Bed forming;Other CBE;Low;Symbiotic;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Calyptogena starobogatovi;3;100;Bed forming;Other CBE;Low;Symbiotic;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Candelabrum phrygium;1;10;Does not add;No;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Candelabrum sp. 1 CIR;1;100;Does not add;Vent;Low;Carnivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cantrainea jamsteci;2;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Catillopecten vulcani;3;100;Does not add;Vent;Low;Detritivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
cf. Hadalanthus sp.;1;100;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Chaceon affinis;3;100;Does not add;No;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Chiridota hydrothermica;3;1000;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0
Chiridota sp.;3;1000;Does not add;Other CBE;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Chondrophellia coronata;2;10;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Chondrophellia orangina;1;100;Does not add;No;Low;Carnivore;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
